0	25.87	40.1	0.7
1	25.93	34.5	0.9
3	25.72	28.7	1
4	25.23	22.8	1.1
6	24.55	16.9	1.3
7	23.74	11.5	1.6
9	22.88	6.7	1.9
10	22.07	2.7	2.2
11	21.36	-0.1	2.5
13	20.76	-1.8	2.5
14	20.32	-2.3	2.1
16	19.94	-1.8	1.2
17	19.62	-0.6	-0.4
19	19.31	1.1	-2.5
20	18.97	3	-4.7
21	18.63	5.1	-6.5
23	18.36	7.4	-7.6
24	18.17	9.8	-7.8
26	17.96	12.1	-7.2
27	17.57	14	-6
29	16.90	15.4	-4.6
30	15.86	16.2	-3.1
31	14.52	16.3	-1.8
33	12.91	15.9	-0.6
34	11.16	15.2	0.4
36	9.35	14.2	1.2
37	7.56	13.2	2.1
39	5.87	12.3	2.8
40	4.31	11.4	3.4
41	2.81	10.7	3.9
43	1.40	10.1	4.2
44	0.04	9.4	4.6
46	-1.31	8.8	4.9
47	-2.65	8.2	5.3
49	-4.01	7.6	5.9
50	-5.42	7	6.4
51	-6.86	6.4	6.7
53	-8.34	5.9	6.9
54	-9.82	5.4	6.9
56	-11.22	5.2	6.9
57	-12.53	5.1	6.8
59	-13.69	5.5	6.8
60	-14.70	6.2	6.8
61	-15.53	7.3	6.5
63	-16.16	8.9	5.9
64	-16.61	10.9	4.8
66	-16.85	13.3	3.2
67	-16.84	16.2	1.2
69	-16.54	19.6	-1.4
70	-15.95	23.5	-4.4
71	-14.96	27.8	-8
73	-13.63	32.4	-11.8
74	-11.92	37.4	-15.4
76	-9.83	42.5	-18.3
77	-7.45	47.6	-20.1
79	-4.76	52.4	-20.5
80	-1.84	56.7	-19.8
81	1.28	60.4	-18.2
83	4.47	63.4	-16.2
84	7.66	65.4	-14
86	10.73	66.5	-11.8
87	13.58	66.6	-9.9
89	16.11	65.7	-8.1
90	18.30	63.9	-6.5
91	20.14	61.3	-5.2
93	21.70	58	-4.1
94	22.98	54.2	-3.2
96	24.05	49.9	-2.5
97	24.89	45.2	-2
99	25.43	40	-1.6
100	25.87	40.1	0.7
